file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Git_Projects\druid\processing\src\test\java\org\apache\druid\segment\nested\NestedDataColumnSupplierV4Test.java,org.apache.druid.segment.nested.NestedDataColumnSupplierV4Test$SettableSelector,innerclass,4,4,0,4,4,2,0,0,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,14,2,0,0,0,0,0,0,1,0,1,0,0,0,0,17,10,0
E:\Git_Projects\druid\extensions-core\multi-stage-query\src\main\java\org\apache\druid\msq\input\stage\StageInputSlice.java,org.apache.druid.msq.input.stage.StageInputSlice,class,6,20,14,6,11,1,0,4,0,0.2857143,0.6666667,0.71428573,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,2,33,8,0,4,0,0,9,1,3,2,3,1,0,0,0,33,1,0
E:\Git_Projects\druid\extensions-core\multi-stage-query\src\main\java\org\apache\druid\msq\indexing\destination\MSQDestination.java,org.apache.druid.msq.indexing.destination.MSQDestination,interface,9,17,8,9,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\nested\VariantColumnAndIndexSupplier.java,org.apache.druid.segment.nested.VariantColumnAndIndexSupplier$VariantArrayElementIndexes$Anonymous2,anonymous,4,4,0,4,7,1,0,12,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,7,0,1,0,0,0,3,1,1,1,2,0,0,0,13,-1,0
E:\Git_Projects\druid\extensions-core\datasketches\src\main\java\org\apache\druid\query\aggregation\datasketches\tuple\ArrayOfDoublesSketchMergeComplexMetricSerde.java,org.apache.druid.query.aggregation.datasketches.tuple.ArrayOfDoublesSketchMergeComplexMetricSerde$Anonymous1,anonymous,3,3,0,3,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,1,0,0,0,0,1,0,1,1,0,0,0,15,-1,0
E:\Git_Projects\druid\sql\src\main\java\org\apache\druid\sql\calcite\expression\builtin\CastOperatorConversion.java,org.apache.druid.sql.calcite.expression.builtin.CastOperatorConversion,class,13,15,2,13,22,1,1,26,10,0.0,0.0,0.0,5,3,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,71,12,0,8,0,1,7,3,12,0,11,2,0,0,1,40,1,0
E:\Git_Projects\druid\extensions-core\datasketches\src\main\java\org\apache\druid\query\aggregation\datasketches\tuple\NoopArrayOfDoublesSketchAggregator.java,org.apache.druid.query.aggregation.datasketches.tuple.NoopArrayOfDoublesSketchAggregator,class,3,4,1,3,6,1,0,3,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,19,1,0,0,0,0,2,0,1,0,1,0,0,0,0,20,1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\ReferenceCountingCloseableObject.java,org.apache.druid.segment.ReferenceCountingCloseableObject$Anonymous1,anonymous,0,0,0,0,4,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,2,0,2,1,0,0,0,2,0,0,0,13,-1,2
E:\Git_Projects\druid\sql\src\main\java\org\apache\druid\sql\calcite\filtration\Ranges.java,org.apache.druid.sql.calcite.filtration.Ranges,class,11,15,4,11,46,1,0,31,66,0.0,0.0,0.0,12,12,11,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,93,22,0,15,0,1,1,0,12,0,12,2,0,0,0,68,1,0
E:\Git_Projects\druid\extensions-core\multi-stage-query\src\main\java\org\apache\druid\msq\sql\resources\SqlTaskResource.java,org.apache.druid.msq.sql.resources.SqlTaskResource,class,31,32,1,31,23,1,0,50,9,0.73333335,0.33333334,0.33333334,6,0,3,3,0,0,3,0,0,0,5,1,0,5,0,0,5,0,0,127,11,3,2,5,0,10,3,27,0,25,5,0,0,1,162,1,3
